#Iin in mA, Eff in %
0.00997062, 78.44786592
0.019969, 83.31907978
0.029969, 85.07977619
0.0399693, 85.91909587
0.0499707, 86.59685333
0.05997, 86.74157444
0.0699723, 86.91642337
0.0799724, 87.14277003
0.0899731, 87.24069378
0.0999748, 87.31538974
0.199887, 87.52640479
0.29988, 87.50880346
0.399875, 87.67128964
0.499874, 87.58389272
0.599889, 87.41592167
0.699893, 87.23656998
0.799901, 87.08882135
0.89991, 86.90701928
0.999916, 86.72783345
4.99713, 86.29858595
9.99756, 85.15553592
14.9887, 84.70629638
19.99, 84.18803649
24.9892, 83.76403388
29.989, 83.28239358
39.989, 82.36887733
