#Vin in V, Eff in %
0.116861, 40.05460181
0.192759, 53.00594735
0.289181, 63.68282414
0.389575, 70.60953609
0.490039, 75.07406491
0.590354, 78.25072889
0.688211, 80.19264722
0.789407, 82.53617702
0.889886, 83.97775669
0.989749, 85.20573776
1.09094, 86.19677012
1.19115, 87.07543872
1.29167, 87.79937518
1.39211, 88.43318898
1.49244, 89.02067614
1.59254, 89.55748596
1.69272, 90.02164826
1.79321, 90.45947843
1.89388, 90.86679918
1.9934, 91.24159345
2.09326, 91.58704118
2.19358, 91.90637987
2.2947, 92.18559696
2.39574, 92.49393181
2.49586, 92.76039947
2.59619, 93.01902536
2.69625, 93.26477476
2.79685, 93.50262378
2.89863, 93.71542548
2.99864, 93.95261079
