#Vin in V, Eff in %
0.106678, 0
0.206584, 15.11062415
0.306105, 38.53675202
0.405166, 52.30256088
0.501133, 58.39857926
0.5991, 64.4805291
0.700748, 70.67596269
0.801691, 74.8814232
0.90117, 75.27480371
1.00099, 76.7641736
1.10013, 78.57725124
1.19929, 80.58930413
1.29801, 81.6292379
1.39894, 81.96206944
1.5001, 83.23857833
1.60071, 84.00646181
1.70118, 84.51448233
1.80164, 84.9670161
1.90066, 86.06762901
1.99936, 86.4725168
2.0979, 87.27641062
2.19614, 87.60901944
2.29866, 88.14108645
2.40382, 88.90486631
2.50054, 89.18787568
2.59811, 89.65124023
2.69391, 90.02845874
