#Vin, Eff in %
0.106837, 0
0.206689, 0
0.305142, 0
0.40094, 15.34653157
0.502739, 27.56266904
0.60136, 39.51348371
0.700356, 45.14224683
0.801593, 52.42176262
0.901733, 57.69540025
1.00098, 60.97062958
1.08902, 64.76947461
1.20004, 66.69724644
1.30058, 68.8492431
1.40079, 70.70939224
1.50103, 71.98621278
1.60104, 73.26997536
1.70098, 75.58208403
1.80082, 75.91966321
1.90052, 76.85903358
2.00023, 77.77970052
2.09984, 78.61686491
2.19997, 79.81354603
2.29976, 79.83067425
2.39957, 80.680094
2.50026, 81.43223471
2.60001, 81.96356304
2.69918, 82.47349741
2.79947, 83.27124243
2.89854, 83.70430996
2.99776, 84.10463372
